country,edu,health,crime,pop,hap_ind,gdppc,log_gdppc,social,life_exp,freedom,generosity
Belgium,10.3,6.7,1.7,11589616,6.834,50161.34554,10.823,0.906,72.199,0.783,-0.153
France,11.3,5.5,1.2,65273512,6.69,44533.63387,10.704,0.942,74,0.822,-0.147
Bahrain,4.1,2.3,0.5,1701583,6.647,43001.91807,10.669,0.862,69.495,0.925,0.089
Malta,9,4.8,1.6,441539,6.602,43217.46608,10.674,0.931,72.2,0.927,0.133
Taiwan Province of China,0.2,2.7,0.3,23816775,6.584,52627.81178,10.871,0.898,69.6,0.784,-0.07
United Arab Emirates,4.2,3.1,0.5,9890400,6.561,65185.99994,11.085,0.844,67.333,0.932,0.074
Saudi Arabia,6.4,5.1,1.3,34813867,6.494,46304.75803,10.743,0.891,66.603,0.877,-0.149
Spain,9,4.2,0.6,46754783,6.491,38987.64188,10.571,0.932,74.7,0.761,-0.081
Italy,8.7,4,0.6,60461828,6.483,41068.63621,10.623,0.88,73.8,0.693,-0.084
Slovenia,8.3,4.8,0.5,2078932,6.461,37384.07161,10.529,0.948,71.4,0.949,-0.101
Guatemala,5.7,3.2,22.5,17915567,6.435,8544.13191,9.053,0.813,64.958,0.906,-0.038
Uruguay,9.2,5,12.1,3473727,6.431,21290.15419,9.966,0.925,69.1,0.896,-0.092
Singapore,4.5,2.9,0.2,5850343,6.377,97538.26095,11.488,0.915,76.953,0.927,-0.018
Slovakia,6.7,3.9,1.1,5459643,6.331,31856.60443,10.369,0.936,69.201,0.766,-0.124
Brazil,9.5,6.3,27.4,212559409,6.33,14429.06711,9.577,0.882,66.601,0.804,-0.071
Mexico,5.4,4.5,29.1,128932753,6.317,19129.75012,9.859,0.831,68.597,0.862,-0.147
Jamaica,6.1,5.2,43.9,2961161,6.309,9759.53466,9.186,0.877,67.5,0.89,-0.137
Lithuania,6.6,3.8,4.6,2722291,6.255,36279.20532,10.499,0.935,67.906,0.773,-0.203
Cyprus,6.8,5.8,1.3,1207361,6.223,39183.06825,10.576,0.802,73.898,0.763,-0.015
Estonia,6.7,5,2.1,1326539,6.189,35632.02175,10.481,0.941,68.8,0.909,-0.106
Panama,7.3,3.2,9.4,4314768,6.18,31257.04282,10.35,0.896,69.652,0.872,-0.166
Uzbekistan,5.3,5.3,1.1,33469199,6.179,6877.427836,8.836,0.918,65.255,0.97,0.311
Chile,9.1,5.4,4.4,19116209,6.172,23647.20015,10.071,0.882,70,0.742,-0.044
Poland,6.3,4.6,0.7,37846605,6.166,32273.44388,10.382,0.898,69.702,0.841,-0.165
Kazakhstan,2.9,2.9,5.1,18776707,6.152,25719.37814,10.155,0.952,65.2,0.853,-0.069
Romania,5.6,3.1,1.3,19237682,6.14,29260.68251,10.284,0.832,67.355,0.845,-0.219
Kuwait,5,3.8,1.8,4270563,6.106,49861.27857,10.817,0.843,66.9,0.867,-0.104
Serbia,8.5,3.6,1.2,8737370,6.078,17800.82351,9.787,0.873,68.6,0.778,0.002
El Salvador,7.1,3.6,52,6486201,6.061,8552.680316,9.054,0.762,66.402,0.888,-0.11
Mauritius,5.8,4.7,2.9,1271767,6.049,22203.38425,10.008,0.905,66.701,0.867,-0.054
Latvia,6.2,4.4,4.4,1886202,6.032,30181.96984,10.315,0.927,67.1,0.715,-0.162
Colombia,7.6,4.5,25.3,50882884,6.012,14143.35243,9.557,0.847,68.001,0.837,-0.135
Hungary,6.7,4.7,2.5,9660350,5.992,31508.10206,10.358,0.943,68,0.755,-0.186
Thailand,3.8,4.1,2.6,69799978,5.985,18124.13945,9.805,0.888,67.401,0.884,0.287
Nicaragua,8.6,4.4,7.2,6624554,5.972,5541.386394,8.62,0.864,67.657,0.836,0.02
Japan,11,3.2,0.3,126476458,5.94,40578.75773,10.611,0.884,75.1,0.796,-0.258
Argentina,9.6,4.9,5.3,45195777,5.929,21205.16366,9.962,0.898,69,0.828,-0.182
Portugal,9.4,5,0.8,10196707,5.929,33556.97435,10.421,0.879,72.6,0.892,-0.244
Honduras,7,6.1,38.9,9904608,5.919,5698.737853,8.648,0.812,67.3,0.857,0.081
Croatia,6.8,3.9,0.6,4105268,5.882,27364.44987,10.217,0.924,70.799,0.754,-0.118
Philippines,4.4,2.5,6.5,109581085,5.88,8742.924293,9.076,0.83,62,0.917,-0.097
South Korea,7.6,4.6,0.6,51815810,5.845,42234.80825,10.651,0.799,73.9,0.672,-0.083
Peru,5.2,3.8,7.9,32971846,5.84,12810.23833,9.458,0.832,68.25,0.822,-0.154
Bosnia and Herzegovina,8.9,2.2,1.2,3280815,5.813,14617.86953,9.59,0.87,68.098,0.706,0.113
Moldova,6.6,6.1,4.1,4033963,5.766,12759.09973,9.454,0.857,65.699,0.822,-0.079
Ecuador,8.1,5,5.8,17643060,5.764,11081.14174,9.313,0.821,68.8,0.842,-0.124
Kyrgyzstan,6.5,6,2.2,6524191,5.744,5105.123897,8.538,0.893,64.401,0.935,0.119
Greece,7.7,4,0.9,10423056,5.723,29114.74425,10.279,0.823,72.6,0.582,-0.288
Bolivia,6.7,4.5,6.2,11673029,5.716,8484.53183,9.046,0.81,63.901,0.875,-0.077
Mongolia,3.8,4.1,6.2,3278292,5.677,12088.38073,9.4,0.935,62.5,0.708,0.116
Paraguay,6.7,6.4,7.1,7132530,5.653,12682.77433,9.448,0.893,65.9,0.876,0.028
Montenegro,8.4,2.4,2.2,628062,5.581,20743.74429,9.94,0.858,68.699,0.708,-0.034
